periode_update;bahan_pokok;satuan_bapok;harga_rata_rata
Januari 2023;Beras Premium / kg;kg;12210
Januari 2023;Beras Mentik / kg;kg;11958
Januari 2023;Beras Medium / kg;kg;10587
Januari 2023;Gula Kristal Putih / kg;kg;13059
Januari 2023;Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml;620 ml;17087
Januari 2023;Minyak Goreng Curah / kg;kg;15758
Januari 2023;Minyak Goreng Kemasan Premium / liter;1 liter;20474
Januari 2023;Minyak Goreng Kemasan Premium 2 liter;2 Liter;39269
Januari 2023;Minyak Goreng Kemasan Sederhana / liter;1 Liter;16124
Januari 2023;Minyak Goreng MINYAKITA / liter;1 Liter;14623
Januari 2023;Minyak Goreng MINYAKITA Kemasan Pouch 1 Liter;1 Liter;14473
Januari 2023;Daging Sapi Paha Belakang / kg;kg;114518
Januari 2023;Daging Ayam Ras / kg;kg;31023
Januari 2023;Daging Ayam Kampung / kg;kg;64188
Januari 2023;Telur Ayam Ras / kg;kg;26885
Januari 2023;Telur Ayam Kampung / kg;kg;42854
Januari 2023;Susu Kental Manis Merk Bendera (397 gr/kl);397 gr/kl;11652
Januari 2023;Susu Kental Manis Merk Indomilk (390 gr/kl);390 gr/kl;11498
Januari 2023;Susu Bubuk Merk Bendera (Instant) / (400 gr/dos);400 gr/dos;39618
Januari 2023;Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos);400 gr/dos;38769
Januari 2023;Jagung Pipilan Kering / kg;kg;7359
Januari 2023;Garam Beryodium  Bata / buah;Buah;1532
Januari 2023;Garam Beryodium Halus / kg;kg;8473
Januari 2023;Tepung Terigu / kg;kg;11641
Januari 2023;Kacang Kedelai Impor / kg;kg;14473
Januari 2023;Kacang Kedelai Lokal / kg;kg;13662
Januari 2023;Indomie Rasa Kari Ayam / bungkus;Bungkus;3018
Januari 2023;Cabe Merah Keriting / kg;kg;35956
Januari 2023;Cabe Merah Besar / kg;kg;31636
Januari 2023;Cabe Rawit Merah / kg;kg;50716
Januari 2023;Bawang Merah / kg;kg;33571
Januari 2023;Bawang Putih / kg;kg;22757
Januari 2023;Ikan Asin Teri / kg;kg;73604
Januari 2023;Kacang Hijau / kg;kg;22900
Januari 2023;Kacang Tanah / kg;kg;27230
Januari 2023;Ketela Pohon / kg;kg;4593
Januari 2023;Kol/kubis (/kg);kg;9488
Januari 2023;Kentang / kg;kg;14942
Januari 2023;Tomat / kg;kg;8238
Januari 2023;Wortel / kg;kg;11207
Januari 2023;Buncis / kg;kg;10629
Januari 2023;Semen Gresik / 40 Kg;40 Kg;56617
Januari 2023;Semen Tiga Roda / 40 Kg;40 Kg;51050
Januari 2023;Semen Padang / 40Kg;40 Kg;47477
Januari 2023;Semen Tonasa / 40Kg;40 Kg;47244
Januari 2023;Semen Bosowa / 40Kg;40 Kg;46510
Januari 2023;Semen Dinamix / 40 Kg;40 Kg;50095
Januari 2023;Ikan Bandeng / kg;kg;33041
Januari 2023;Ikan Kembung / kg;kg;33676
Januari 2023;Ikan Tuna / kg;kg;39635
Januari 2023;Ikan Tongkol / kg;kg;32598
Januari 2023;Ikan Cakalang / kg;kg;33540
Januari 2023;KAYU BALOK MERANTI (4 X 10);Btg;96891
